0,1
dataBalanced/5978.png,Qxf3
dataBalanced/11627.png,Bxe5
dataBalanced/5537.png,Qd5+
dataBalanced/9859.png,b5
dataBalanced/19751.png,Nxe4
dataBalanced/2185.png,Qe7
dataBalanced/12390.png,Bc2
dataBalanced/2023.png,Kg4
dataBalanced/20140.png,Qf5
dataBalanced/21483.png,Ng7
dataBalanced/5578.png,Ne2+
dataBalanced/10560.png,Ng1
dataBalanced/16905.png,Nd3
dataBalanced/3960.png,Rg4
dataBalanced/15385.png,Ka6
dataBalanced/11972.png,h6
dataBalanced/17752.png,c3+
dataBalanced/18578.png,Nf2
dataBalanced/7027.png,Nd3
dataBalanced/19315.png,Qe8
dataBalanced/3022.png,Bb7
dataBalanced/1286.png,Rbd8
dataBalanced/18514.png,exf8=Q+
dataBalanced/19650.png,Qc7
dataBalanced/15634.png,Kd5
dataBalanced/19753.png,Qa6
dataBalanced/3137.png,Nd6+
dataBalanced/16006.png,Rb1
dataBalanced/1979.png,Qh6
dataBalanced/10644.png,Bb6+
dataBalanced/5324.png,Bf1+
dataBalanced/24310.png,Qxa2
dataBalanced/4173.png,Nbd2
dataBalanced/14447.png,Qh3
dataBalanced/4983.png,Nd3+
dataBalanced/24985.png,g3
dataBalanced/9034.png,Ba5
dataBalanced/14270.png,e5
dataBalanced/2733.png,Ng7+
dataBalanced/4766.png,Nb5+
dataBalanced/23162.png,Rh7
dataBalanced/9365.png,Kh1
dataBalanced/4299.png,Qxf5
dataBalanced/21066.png,Nde6+
dataBalanced/3429.png,Kb2
dataBalanced/6473.png,Qe3
dataBalanced/13412.png,Kd7
dataBalanced/2004.png,Qh4
dataBalanced/24464.png,Ka3
dataBalanced/17626.png,d3
dataBalanced/3228.png,Nxe4
dataBalanced/12441.png,Qa4+
dataBalanced/1692.png,Ka6
dataBalanced/6604.png,Re7
dataBalanced/16530.png,Nd4
dataBalanced/11712.png,Bc2
dataBalanced/17224.png,Ka7
dataBalanced/13135.png,Rh8
dataBalanced/23024.png,Kb8
dataBalanced/13286.png,Bxb2
dataBalanced/11149.png,Kb7
dataBalanced/14354.png,Rhh2
dataBalanced/14249.png,Rcd1
dataBalanced/479.png,Bdf6+
dataBalanced/4931.png,Kh4
dataBalanced/14576.png,Nb8
dataBalanced/14977.png,Qb7+
dataBalanced/3929.png,Kf6
dataBalanced/4110.png,Qf3
dataBalanced/18398.png,Qh6+
dataBalanced/23384.png,Qb8+
dataBalanced/21442.png,Rd2
dataBalanced/24910.png,Re2+
dataBalanced/12615.png,Raxa3
dataBalanced/13632.png,Bxd2+
dataBalanced/3478.png,Bg3+
dataBalanced/4122.png,Bxd4
dataBalanced/9032.png,Bb3
dataBalanced/19817.png,Bxe6
dataBalanced/18604.png,Qe6
dataBalanced/4936.png,Bh4
dataBalanced/11795.png,Qec4
dataBalanced/23829.png,Kd7
dataBalanced/4051.png,Nd5+
dataBalanced/23736.png,Bg7
dataBalanced/17608.png,Qe8+
dataBalanced/3991.png,Rxh5
dataBalanced/8174.png,c3
dataBalanced/7515.png,Na5
dataBalanced/22076.png,Ndf2
dataBalanced/2984.png,Bf3
dataBalanced/24145.png,Kh7
dataBalanced/14767.png,Ngxe2
dataBalanced/23600.png,Rxd4+
